Vacancy_id;Vacancy_name;Vacancy_url;Salary_min;Salary_max;Salary_cur;Employer_name;Employer_url;Employer_city
83722639;Data Scientist;https://hh.ru/vacancy/83722639;0;0;-;ПАО МТС Банк. Головной офис;https://hh.ru/employer/4496?dpt=4496-4496-office&hhtmFrom=vacancy;-
82643522;Junior Data scientist (Валидатор моделей банковской и торговой книг);https://hh.ru/vacancy/82643522;0;0;-;Сбер. Data Science;https://hh.ru/employer/3529?dpt=3529-3529-data&hhtmFrom=vacancy;-
83678530;Junior Data Scientist (Стажер);https://hh.ru/vacancy/83678530;0;0;-;Центр финансовых технологий;https://hh.ru/employer/8550?hhtmFrom=vacancy;Томск
83695664;Data scientist;https://hh.ru/vacancy/83695664;0;0;-;OKKAM;https://hh.ru/employer/6528?hhtmFrom=vacancy;-
83793511;Data Scientist;https://hh.ru/vacancy/83793511;0;0;-;Правительство Москвы;https://hh.ru/employer/895945?hhtmFrom=vacancy;Москва
83327831;Study Safety Physician (Clinical Development Scientist);https://hh.ru/vacancy/83327831;0;0;-;АстраЗенека;https://hh.ru/employer/3400?hhtmFrom=vacancy;Москва
82205395;Data Scientist (ChatGPT и Copilot) MTS AI;https://hh.ru/vacancy/82205395;0;0;-;ПАО «МТС» ;https://hh.ru/employer/3776?dpt=mts-3776-main&hhtmFrom=vacancy;-
81057983;Data Scientist;https://hh.ru/vacancy/81057983;0;0;-;Whoosh (ООО Вуш);https://hh.ru/employer/3536822?hhtmFrom=vacancy;Москва
83451191;Data Scientist (Junior);https://hh.ru/vacancy/83451191;0;0;-;Газпромбанк;https://hh.ru/employer/3388?dpt=3388-3388-gazprom&hhtmFrom=vacancy;Москва
77907673;Junior Data Scientist (сопровождение процесса разработки и использования моделей);https://hh.ru/vacancy/77907673;0;0;-;ПАО ВТБ, Подразделения Поддержки и Контроля;https://hh.ru/employer/4181?dpt=vtb-4181-pik&hhtmFrom=vacancy;Москва
83802983;Data Scientist;https://hh.ru/vacancy/83802983;0;0;-;Ингосстрах;https://hh.ru/employer/4309?hhtmFrom=vacancy;Москва
84021137;Data Scientist в команду NLP;https://hh.ru/vacancy/84021137;0;0;-;2ГИС;https://hh.ru/employer/64174?hhtmFrom=vacancy;Москва
82921710;Data Scientist (Хаб юр.лиц);https://hh.ru/vacancy/82921710;0;0;-; Альфа-Банк;https://hh.ru/employer/80?dpt=80-80-bank&hhtmFrom=vacancy;-
83773526;Data Scientist middle+;https://hh.ru/vacancy/83773526;0;0;-;Adeptum Digital Production;https://hh.ru/employer/2902080?hhtmFrom=vacancy;-
78771412;Data Scientist / Python разработчик;https://hh.ru/vacancy/78771412;0;0;-;ЗАЗЕКС;https://hh.ru/employer/681319?hhtmFrom=vacancy;-
78853190;Младший научный сотрудник (Junior Data Scientist);https://hh.ru/vacancy/78853190;0;0;-;ЦРТ | Группа компаний;https://hh.ru/employer/4585?hhtmFrom=vacancy;-
83229724;Data Scientist;https://hh.ru/vacancy/83229724;0;0;-;МСП Банк;https://hh.ru/employer/25722?hhtmFrom=vacancy;-
84021138;Data Scientist в команду NLP;https://hh.ru/vacancy/84021138;0;0;-;2ГИС;https://hh.ru/employer/64174?hhtmFrom=vacancy;Санкт-Петербург
82138061;Data Scientist (Pricing);https://hh.ru/vacancy/82138061;0;0;-;Lamoda Tech;https://hh.ru/employer/9418714?hhtmFrom=vacancy;-
83617550;Data Scientist;https://hh.ru/vacancy/83617550;0;0;-;ПАО «Газпром нефть» ИТ;https://hh.ru/employer/39305?dpt=gpn-39305-it&hhtmFrom=vacancy;Санкт-Петербург
83517175;Data Scientist/ Computer Vision expert;https://hh.ru/vacancy/83517175;0;0;-;Igor Polyakov Consulting;https://hh.ru/employer/1106400?hhtmFrom=vacancy;-
82785357;Junior/Middle Data Scientist;https://hh.ru/vacancy/82785357;0;0;-;Сбер для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof&hhtmFrom=vacancy;Москва
84074934;Data scientist (Департамент развития отношений с клиентами);https://hh.ru/vacancy/84074934;0;0;-;Банк Русский Стандарт;https://hh.ru/employer/586?hhtmFrom=vacancy;-
82701142;Senior Data Scientist;https://hh.ru/vacancy/82701142;0;0;-;Сбер. Data Science;https://hh.ru/employer/3529?dpt=3529-3529-data&hhtmFrom=vacancy;Москва
83376381;Data Scientist Управления модельных рисков и валидации;https://hh.ru/vacancy/83376381;0;0;-;ПАО ВТБ, Технологический блок;https://hh.ru/employer/4181?dpt=vtb-4181-teh&hhtmFrom=vacancy;Самара
82421287;Data Scientist;https://hh.ru/vacancy/82421287;0;0;-;TWINO;https://hh.ru/employer/1641561?hhtmFrom=vacancy;-
82162243;Data Scientist;https://hh.ru/vacancy/82162243;0;0;-;Finbridge;https://hh.ru/employer/833155?hhtmFrom=vacancy;Москва
83937081;Data scientist / Machine learning engineer (команда рекомендаций и машинного обучения, ВКонтакте);https://hh.ru/vacancy/83937081;0;0;-;VK, Одноклассники;https://hh.ru/employer/15478?dpt=mailru-15478-od&hhtmFrom=vacancy;Санкт-Петербург
